author_name,focal_papers,matched_controls,focal_pre,focal_post,control_pre,control_post,focal_change,control_change,difference_in_changes,focal_pretrend_slope,control_pretrend_slope,pretrend_slope_gap,parallel_pretrend_flag,causal
John A. List,49,49,0.44897959183673464,2.1346938775510202,0.19591836734693877,0.9061224489795918,1.6857142857142855,0.710204081632653,0.9755102040816325,0.23673469387755103,0.0673469387755102,0.16938775510204082,0,0
Michael C. Jensen,10,10,3.1,8.84,1.42,1.94,5.74,0.52,5.220000000000001,1.05,0.42000000000000004,0.63,0,0
Manuel Arellano,12,12,0.16666666666666669,0.31666666666666665,0.15,0.55,0.14999999999999997,0.4,-0.25000000000000006,0.1,0.07500000000000001,0.024999999999999994,1,0
Robert M. Solow,15,15,0.18666666666666668,0.28,0.013333333333333332,0.0,0.09333333333333335,-0.013333333333333332,0.10666666666666669,0.03333333333333334,0.013333333333333332,0.020000000000000007,1,0
