event_time,observations,authors,mean_citations,mean_change_from_t_minus_1,share_with_positive_citations
-10,75882,11155,0.12814633246356186,-0.6526844310903772,0.04783743180200838
-9,75882,11155,0.15116892016552014,-0.6296618433884189,0.05710181597743866
-8,75882,11155,0.18279697424949262,-0.5980337893044464,0.06711736643736327
-7,75882,11155,0.2178514008592288,-0.5629793626947102,0.08025618723808017
-6,75882,11155,0.25896787116839304,-0.521862892385546,0.09454152499934108
-5,75882,11155,0.30971771961730055,-0.47111304393663844,0.11246408898025882
-4,75882,11155,0.38716691705542816,-0.3936638464985108,0.13308821591418254
-3,75882,11155,0.4923038401729,-0.28852692338103897,0.16113175720197148
-2,75882,11155,0.6104478005324055,-0.17038296302153344,0.19774122980416964
-1,75882,11155,0.780830763553939,0.0,0.23993832529453626
0,75882,11155,0.9117313723939802,0.13090060884004112,0.2580058511900055
1,75882,11155,0.9217864579215097,0.1409556943675707,0.2557523523365225
2,75882,11155,0.8900925120581956,0.10926174850425661,0.24679107034606362
3,75882,11155,0.8366279223004138,0.05579715874647479,0.23323054215756042
4,75882,11155,0.7612872618012176,-0.01954350175272133,0.21401649930154715
5,75882,11155,0.6844179120212962,-0.09641285153264278,0.19125747871695528
6,75882,11155,0.5844864394718114,-0.1963443240821275,0.16707519569858464
7,75882,11155,0.5303892886323502,-0.2504414749215888,0.15000922484910784
8,75882,11155,0.48104952426135317,-0.2997812392925859,0.1347486887535911
9,75882,11155,0.420284125352521,-0.36054663820141797,0.12055559948340845
10,75882,11155,0.34757913602698925,-0.43325162752694973,0.1070214280066419
