sample_name,event_time,observations,authors,units,mean_citations,mean_expected_citations,mean_excess_citations,observed_expected_ratio,mean_smoothed_ratio,excess_se,excess_ci_low,excess_ci_high
at_risk,-10,21244,5691,21244,0.45772924119751457,0.4621090990925671,-0.0043798578950514895,0.9905220262841543,1.0269726100034258,0.015515784837031102,-0.03479079617563245,0.02603108038552947
at_risk,-9,24283,6295,24283,0.4723880904336367,0.47850489517845296,-0.006116804744814696,0.9872168397722764,1.0063751846142321,0.015062278353423338,-0.03563887031752444,0.023405260827895045
at_risk,-8,27892,6952,27892,0.49731105693388783,0.49058225118222937,0.006728805751658324,1.0137159584054316,1.030854068804846,0.014029499837979912,-0.020769013930782305,0.034226625434098955
at_risk,-7,32146,7613,32146,0.5142474958004106,0.49888079902071925,0.015366696779690945,1.0308023415811063,1.039153639425319,0.013110585990336937,-0.010330051761369452,0.04106344532075134
at_risk,-6,36919,8333,36919,0.5322733551829681,0.5051154223018143,0.02715793288115296,1.053765796255824,1.0586529556822977,0.013064177012669133,0.0015521459363214592,0.05276371982598446
at_risk,-5,42447,9069,42447,0.5536787052088487,0.5083127871247798,0.04536591808406702,1.0892480363137755,1.0910035305262533,0.0128937264510829,0.02009421423994454,0.07063762192818951
at_risk,-4,48987,9790,48987,0.5997305407557108,0.5111450187408793,0.08858552201482799,1.1733080021655051,1.166059831333395,0.013348661647351778,0.062422145186018504,0.11474889884363747
at_risk,-3,56650,10486,56650,0.6594351279788173,0.5173194476999227,0.14211568027889113,1.2747155184495025,1.257317171078955,0.01514450928629194,0.11243244207775893,0.17179891848002332
at_risk,-2,65695,10954,65695,0.7051069335565873,0.5284215928794459,0.17668534067714,1.3343643466845427,1.2990506009441942,0.013885300642629423,0.14947015141758635,0.20390052993669366
at_risk,-1,75882,11155,75882,0.780830763553939,0.5462334830787525,0.23459728047518802,1.4294816918818647,1.3814991974008302,0.014110530808740078,0.20694064009005747,0.26225392086031857
at_risk,0,75882,11155,75882,0.9117313723939802,0.6160893767826391,0.29564199561134236,1.4798686793712494,1.3905234640859057,0.016246239198541255,0.2637993667822015,0.3274846244404832
at_risk,1,75882,11155,75882,0.9217864579215097,0.6410691148316188,0.2807173430898926,1.4378893579417302,1.3397989356230864,0.016105727122292253,0.24915011793019978,0.3122845682495854
at_risk,2,75870,11153,75870,0.8902332937920127,0.6342695236496038,0.25596377014239985,1.403556785559531,1.3070044954805065,0.015506923473305997,0.2255702001347201,0.28635734015007963
at_risk,3,75238,11043,75238,0.8437890427709402,0.6156788954015544,0.22811014736937746,1.3705018136452591,1.2798725460766263,0.015325728678352562,0.19807171915980643,0.2581485755789485
at_risk,4,74029,10861,74029,0.7803428386172986,0.5829330002879277,0.19740983832937167,1.3386492757004054,1.253752639417484,0.015247509814248172,0.16752471909344527,0.22729495756529808
