event_time,mean_citations_age_standardized,weight_11-20,weight_21+,weight_3-5,weight_6-10
-5,0.5682864462293715,0.22937142624585394,0.10123517082799179,0.34336528091488105,0.32602812201127324
-4,0.5934119885831146,0.22937142624585394,0.10123517082799179,0.34336528091488105,0.32602812201127324
-3,0.6222477912697637,0.22937142624585394,0.10123517082799179,0.34336528091488105,0.32602812201127324
-2,0.6755542750426308,0.22937142624585394,0.10123517082799179,0.34336528091488105,0.32602812201127324
-1,0.7211403421789472,0.22937142624585394,0.10123517082799179,0.34336528091488105,0.32602812201127324
0,0.7913951886488412,0.22937142624585394,0.10123517082799179,0.34336528091488105,0.32602812201127324
1,0.8248532301703193,0.22937142624585394,0.10123517082799179,0.34336528091488105,0.32602812201127324
2,0.876924472207232,0.22937142624585394,0.10123517082799179,0.34336528091488105,0.32602812201127324
3,0.8865648776417802,0.22937142624585394,0.10123517082799179,0.34336528091488105,0.32602812201127324
4,0.8660656478169831,0.22937142624585394,0.10123517082799179,0.34336528091488105,0.32602812201127324
