event_time,observations,author_clusters,mean_citations,mean_change_from_t_minus_1,clustered_se,ci_low,ci_high
-5,39789,5515,0.7630752217949685,-0.17245972504963683,0.020613813555275737,-0.21286279961797727,-0.1320566504812964
-4,39789,5515,0.831586619417427,-0.10394832742717837,0.016843475527701737,-0.13696153946147377,-0.07093511539288297
-3,39789,5515,0.8809972605493981,-0.054537686295207215,0.013125584568139913,-0.08026383204876145,-0.028811540541652986
-2,39789,5515,0.9259343034507025,-0.009600643393902838,0.010880175685646813,-0.03092578773777059,0.011724500949964913
-1,39789,5515,0.9355349468446053,0.0,0.0,0.0,0.0
0,39789,5515,0.9464676166779763,0.010932669833371033,0.010380998309417064,-0.009414086853086411,0.03127942651982848
1,39789,5515,0.9139963306441479,-0.021538616200457415,0.012338161292891258,-0.04572141233452428,0.00264417993360945
2,39789,5515,0.8891402146321847,-0.04639473221242052,0.01575532680669705,-0.07727517275354673,-0.015514291671294304
3,39789,5515,0.8803438136168288,-0.05519113322777652,0.025575596818607455,-0.10531930299224714,-0.005062963463305911
4,39789,5515,0.8440272437105732,-0.09150770313403202,0.033027098692253856,-0.1562408165708496,-0.026774589697214454
5,39789,5515,0.8005227575460554,-0.13501218929854986,0.03804197420215683,-0.20957445873477726,-0.06044991986232247
